route_id,service_id,trip_id,trip_headsign,shape_id
5VTA,HIGHDLY2016,5HDLY16_OUT_1VTA,West Tisbury,5OUTVTA
5VTA,HIGHDLY2016,5HDLY16_OUT_2VTA,West Tisbury,5OUTVTA
5VTA,HIGHDLY2016,5HDLY16_OUT_3VTA,West Tisbury,5OUTVTA
5VTA,HIGHDLY2016,5HDLY16_OUT_4VTA,West Tisbury,5OUTVTA
5VTA,FALLWKND2016,5FWKND16_OUT_1VTA,West Tisbury,5OUTVTA
5VTA,FALLWKND2016,5FWKND16_OUT_2VTA,West Tisbury,5OUTVTA
5VTA,FALLWKND2016,5FWKND16_OUT_3VTA,West Tisbury,5OUTVTA
5VTA,SLATEWKND2016,5SLW16_OUT_1VTA,West Tisbury,5OUTVTA
5VTA,FLATEWKND2016,5FLW16_OUT_1VTA,West Tisbury,5OUTVTA


6VTA,APROCT2016,6APROCT16_IN_1VTA,Edgartown,6INVTA
6VTA,APROCT2016,6APROCT16_IN_2VTA,Edgartown,6INVTA
6VTA,APROCT2016,6APROCT16_IN_3VTA,Edgartown,6INVTA
6VTA,APROCT2016,6APROCT16_IN_4VTA,Edgartown,6INVTA
6VTA,APROCT2016,6APROCT16_IN_5VTA,Edgartown,6INVTA
6VTA,APROCT2016,6APROCT16_IN_6VTA,Edgartown,6INVTA
6VTA,APROCT2016,6APROCT16_IN_7VTA,Edgartown,6INVTA
6VTA,APROCT2016,6APROCT16_IN_8VTA,Edgartown,6INVTA
6VTA,APROCT2016,6APROCT16_IN_9VTA,Edgartown,6INVTA
6VTA,APROCT2016,6APROCT16_IN_10VTA,Edgartown,6INVTA
6VTA,APROCT2016,6APROCT16_IN_11VTA,Edgartown,6INVTA
6VTA,APROCT2016,6APROCT16_IN_12VTA,Edgartown,6INVTA
